variable,domain,question,overall_pct,house_expected_yes,house_sigma,house_prob_pass,house_verdict
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,62.9096,552.21,13.09,1.0,PASS
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,57.6828,501.7,13.07,1.0,PASS
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,65.3484,567.91,12.5,1.0,PASS
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,80.4546,692.7,11.4,1.0,PASS
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,59.2294,515.82,11.32,1.0,PASS
CC24_323b,Immigration,Increase border patrols,79.5714,698.57,10.66,1.0,PASS
CC24_323d,Immigration,Permanent status/pathway for Dreamers,70.4041,631.28,10.37,1.0,PASS
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,54.1862,489.52,12.66,1.0,PASS
CC24_340f,Immigration,Deny asylum for illegal border crossings,63.1681,536.64,11.32,1.0,PASS
CC24_321a,Police & Guns,Ban assault rifles,59.5554,520.57,12.76,1.0,PASS
CC24_321b,Police & Guns,Easier concealed-carry permits,38.9291,340.1,12.88,0.0,FAIL
CC24_321c,Police & Guns,Require background checks on all gun sales,92.5023,806.75,7.56,1.0,PASS
CC24_321d,Police & Guns,Increase police by 10%,56.7169,450.99,12.23,0.8819,PASS
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",26.7993,237.05,11.91,0.0,FAIL
CC24_321f,Police & Guns,Increase spending on mental health & school safety,86.4629,758.04,9.43,1.0,PASS
CC24_324b,Abortion,Permit abortion only in rape/incest/life danger cases,51.3964,459.36,13.81,0.9511,PASS
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),63.0207,539.5,13.31,1.0,PASS
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,41.2474,362.53,13.27,0.0,FAIL
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,18.4855,172.23,11.38,0.0,FAIL
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,66.0666,572.48,12.26,1.0,PASS
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,55.4871,469.18,14.19,0.9894,PASS
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,34.0178,306.43,13.77,0.0,FAIL
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,60.1484,536.27,13.38,1.0,PASS
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,62.7367,559.91,12.67,1.0,PASS
CC24_444e,Civil Liberties,Age verification for adult web content,78.7779,689.77,11.86,1.0,PASS
CC24_444f,Civil Liberties,School voucher subsidies,56.1512,499.34,13.79,1.0,PASS
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,62.3942,552.98,12.17,1.0,PASS
CC24_326b,Environment & Climate,Require 20% renewable electricity,66.1221,593.08,12.0,1.0,PASS
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,486.0,12.75,0.9999,PASS
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,56.953,494.68,12.94,1.0,PASS
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,44.7229,392.95,13.09,0.0004,FAIL
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,67.4904,590.24,13.5,1.0,PASS
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,50.2392,439.36,14.58,0.5778,TOSS-UP
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,72.447,641.64,12.21,1.0,PASS
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,53.2651,463.12,14.31,0.9686,PASS
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,38.4834,331.58,12.5,0.0,FAIL
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),78.6882,700.68,11.06,1.0,PASS
